Restaurant Name,Google Score,Number of Reviews,Municipality,Address,Lat/Long,Specialty Cuisine
"Restaurant ""El Dúo""",4.6,644,La Reina,"Av. Larraín 6367, 7870176 La Reina, Región Metropolitana, Chile","-33.4530421, -70.5639659","establishment, food, point_of_interest, restaurant"
Santa Brasa Plaza Egaña,4.5,1609,La Reina,"Av. Ossa 123, 7870151 La Reina, Región Metropolitana, Chile","-33.4525295, -70.569918","establishment, food, point_of_interest, restaurant"
Sol Sublime Restaurant,4.5,673,La Reina,"Av. Príncipe de Gales 6580, 7850286 Santiago, La Reina, Región Metropolitana, Chile","-33.4383546, -70.56373099999999","establishment, food, point_of_interest, restaurant"
Don Carlos,4.5,2456,Las Condes,"Isidora Goyenechea 2895, 7550101 Las Condes, Región Metropolitana, Chile","-33.414149, -70.60177399999999","establishment, food, point_of_interest, restaurant"
Pinpilinpausha,4.6,2961,Las Condes,"Isidora Goyenechea 2900, 7550033 Las Condes, Región Metropolitana, Chile","-33.4137939, -70.60173879999999","establishment, food, point_of_interest, restaurant"
Diablo Vino y Fuego Restaurante,4.7,965,Las Condes,"Mercado Urbano Tobalaba (MUT - Av. Apoquindo 2730, 5to Piso, 7550179 Las Condes, Región Metropolitana, Chile","-33.4176518, -70.6013263","establishment, food, point_of_interest, restaurant"
Happening,4.5,1899,Las Condes,"Av. Apoquindo 3090, 7550312 Las Condes, Región Metropolitana, Chile","-33.416711, -70.5976522","establishment, food, point_of_interest, restaurant"
Lumiére Bistró Restaurante,4.6,1133,Las Condes,"Puerta del Sol 19, 7580067 Las Condes, Región Metropolitana, Chile","-33.4124303, -70.5787114","establishment, food, point_of_interest, restaurant"
Le Due Torri Isidora,4.6,2680,Las Condes,"Isidora Goyenechea 2908, 7550033 Las Condes, Región Metropolitana, Chile","-33.41380150000001, -70.6015633","establishment, food, point_of_interest, restaurant"
Nolita Isidora Goyenechea,4.5,1145,Las Condes,"Isidora Goyenechea 3456, 7550071 Las Condes, Región Metropolitana, Chile","-33.41413, -70.5944794","establishment, food, point_of_interest, restaurant"
Kató Tasty Caos,4.7,407,Las Condes,"Isidora Goyenechea 3275, local 2, 7550129 Las Condes, Región Metropolitana, Chile","-33.4146907, -70.5966256","establishment, food, point_of_interest, restaurant"
Aligot restaurant,4.5,1114,Las Condes,"Isidora Goyenechea 2890, 7550033 Las Condes, Región Metropolitana, Chile","-33.413808, -70.60199469999999","establishment, food, point_of_interest, restaurant"
Tanaka La Dehesa,4.5,545,Lo Barnechea,"El Rodeo 13032, 7690771 Santiago, Lo Barnechea, Región Metropolitana, Chile","-33.3522299, -70.517146","establishment, food, point_of_interest, restaurant"
